DictName;tag_code
Accelerated;5
Accounting;10
Account;8
Accounts;8
Accretion;11
Accrual;12
Accrued;12
Accumulated;13
Accured;15
Acquired;16
Acquisition;17
Additional;22
Additions;23
Adjustment;26
Administrative;27
Administrator;28
Advance;30
Advanced;30
Advances;30
Advancesfor;30
Advertising;31
Advisory;33
Affiliate;34
Affordable;35
Aggregate;40
Agricultural;42
Air;44
Alliance;48
Allocation;50
Allowance;51
Amortization;52
Amortizationof;52
Amount;54
Amounts;54
Annuity;58
Arbitration;63
Arrangement;66
Asbestos;67
Assessments;68
Asset;69
Assetbacked;70
Assets;69
Assignor;71
Auction;76
Audience;77
Available;80
Bank;85
Basis;91
Below;94
Belowmarket;94
Beneficial;95
Benefit;96
Benefits;96
Billing;97
Billings;97
Bills;98
Biomass;99
Bond;103
Bonds;103
Book;105
Borrowed;107
Borrowings;109
Branch;110
Bridge;111
Broadcast;112
Brokerage;114
Brokered;115
Buffalos;116
Build;117
Business;119
Capital;127
Capitalization;128
Care;132
Carriers;133
Carrying;134
Cash;135
Cashier;136
Casualty;137
Cease;140
Ceded;141
Certificate;144
Certificateof;144
Certificates;144
Change;145
Channel;146
Checking;150
Checks;151
Cigarette;152
Claim;153
Claims;153
Class;154
Client;158
Clinical;159
Closed;160
Closing;161
Collaboration;165
Collateralized;169
Commercial;174
Commisions;175
Commission;175
Commissions;175
Commitments;176
Commodity;178
Common;179
Company;182
Compensated;183
Compensation;184
Comprehensive;186
Consideration;192
Construction;195
Consultant;196
Consumer;198
Content;199
Contingency;200
Contingent;201
Contingently;201
Continuing;202
Contract;203
Contractholder;204
Contracts;203
Contractual;206
Contributed;207
Contribution;208
Contributions;208
Conversion;210
Convertible;211
Core;214
Corporate;215
Cost;218
Costs;218
Credit;224
Cross;226
Cumulative;227
Current;229
Customer;231
Dealer;236
Debentures;237
Debt;238
Debtand;238
Debtor;239
Deemed;243
Default;244
Deferred;245
Deficit;247
Defined;248
Demand;250
Deposit;254
Deposits;254
Depreciation;255
Derivative;256
Developmental;259
Development;259
Dining;263
Director;264
Directors;264
Discontinued;267
Discounted;268
Discount;268
Disposal;269
Disputed;270
Distribution;272
Distributions;272
Distributionto;272
Dividend;275
Dividends;275
Dollar;277
Domestic;279
Donated;280
Donations;280
Draft;283
Drafts;283
Drilling;285
Due;287
Dueto;287
Duetobrokers;287
Early;289
Earnings;292
Earnout;293
Earn;290
Economic;294
Effect;296
Embedded;298
Employee;299
Energy;302
Entrusted;306
Environmental;308
Equipment;309
Equity;310
Escrow;312
Escrowed;312
Escrows;312
Estimated;315
Eur;316
Euro;316
Excess;317
Exchangeable;319
Exchange;318
Excise;320
Exit;325
Expense;328
Exploration;329
Export;330
Extended;331
Facility;334
Factoring;335
Factor;335
Fair;336
Fdic;337
Federal;339
Fee;340
Fees;340
Fiduciary;342
Finance;344
Financed;344
Financial;344
Financing;344
Finite;346
Flooring;351
Floor;351
Foreclosed;354
Foreign;355
Forgivable;356
Former;357
Forward;358
Franchise;360
Fund;366
Funds;366
Futures;369
Gain;370
Gains;370
Gaming;371
Gasand;372
Gas;372
General;374
Gold;378
Goods;379
Goodwill;380
Grant;384
Grants;384
Gross;386
Growers;389
Guaranteed;390
Guarantee;390
Guarantees;390
Guaranty;390
Hedging;393
Held;394
Home;400
Hybrid;403
Imputed;411
Incentive;412
Income;415
Increase;416
Independent;422
Industrial;425
Information;426
Installment;430
Institutional;431
Insurance;433
Intangible;435
Intercompany;436
Interest;438
Intergroup;436
Intermezzo;439
Inventory;442
Invested;443
Investment;444
Investments;444
Investor;445
Issuance;447
Issued;449
Jackpot;452
Joint;454
Junior;456
Label;459
Labor;460
Landlord;462
Land;461
Landunder;461
Lease;464
Leased;466
Leasehold;464
Legacy;468
Legal;469
Lending;471
Less;472
Letter;474
Letters;474
Leveraged;475
Liabilities;476
Liabilitiesof;476
Liability;476
Liabilityfor;476
Liabilityon;476
Liablities;476
License;477
Licensing;477
Life;481
Limited;483
Line;484
Lineof;484
Lines;484
Liquidated;486
Liquidating;486
Liquidation;486
Liquidity;487
Listed;488
Litigation;489
Loan;491
Loanand;491
Loans;491
Long;493
Longterm;495
Loss;496
Losses;496
Maintenance;500
Malpractice;502
Management;503
Manager;504
Managers;504
Managing;503
Mandatorily;506
Mandatory;506
Manufacturer;507
Margin;509
Marketable;511
Marketing;512
Maturity;515
Maximum;516
Medical;521
Medium;522
Mediumterm;523
Member;524
Members;524
Membership;525
Merchandise;526
Merger;528
Mezzanine;531
Milestone;532
Mineral;534
Mine;533
Mining;536
Minority;537
Monetary;539
Money;540
Mortgage;543
Mortgages;543
Mulitfamily;545
Net;552
Netinvestment;444
Non;557
Non-;557
Note;559
Notes;560
Notesand;560
