,issuer,period,cik,title,trans_date,trans_code,equity_involved,shares,price,acc_disp,owner_nature,post_shares,post_values,shares_notes,price_notes
0,72971,2012-01-09,1201226,"Common Stock, $1 2/3 Par Value",2011-12-21,G,False,4000.0,0.0,D,I,416099.0,,,
1,72971,2012-01-09,1201226,"Common Stock, $1 2/3 Par Value",2011-12-21,G,False,1000.0,0.0,A,I,1830.0,,,
2,72971,2012-01-09,1201226,"Common Stock, $1 2/3 Par Value",2011-12-21,G,False,1000.0,0.0,A,I,1830.0,,,
3,72971,2012-01-09,1201226,"Common Stock, $1 2/3 Par Value",2011-12-21,G,False,1000.0,0.0,A,I,1000.0,,,
4,72971,2012-01-09,1201226,"Common Stock, $1 2/3 Par Value",2011-12-21,G,False,1000.0,0.0,A,I,1000.0,,,
5,72971,2012-01-09,1201226,"Common Stock, $1 2/3 Par Value",2012-01-09,M,False,437407.0,23.3,A,I,853506.0,,,
6,72971,2012-01-09,1201226,"Common Stock, $1 2/3 Par Value",2012-01-09,F,False,386225.0,29.31,D,I,467281.0,,,
7,72971,2012-01-11,1201261,"Common Stock, $1 2/3 Par Value",2012-01-11,M,False,34112.0,26.95,A,I,291857.77,,,
8,72971,2012-01-11,1201261,"Common Stock, $1 2/3 Par Value",2012-01-11,F,False,32238.0,29.62,D,I,259619.77,,,
9,72971,2012-01-18,1232064,"Common Stock, $1 2/3 Par Value",2012-01-18,S,False,24000.0,29.9751,D,D,90125.0,,,"The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $29.93 to $30.00, inclusive. The reporting person undertakes to provide to Wells Fargo & Company, any security holder of Wells Fargo & Company, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each seperate price within the ranges set forth in footnote (1) to this Form 4."
10,72971,2012-01-23,1452637,"Common Stock, $1 2/3 Par Value",2012-01-23,M,False,50093.0,27.07,A,D,109896.0,,,
11,72971,2012-01-23,1452637,"Common Stock, $1 2/3 Par Value",2012-01-23,F,False,2054.0,30.92,D,D,107842.0,,,
